Bug _Type,Jira_Summary,Issue_key,Kibana_Description,Required_Description
FR,Aws-Prod(Sponsor)- An exception of type 'System.NullReferenceException' occurred and was caught.,MSMPC-2594,"September 18th 2019, 22:25:11.548        Type : System.NullReferenceException, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089

               September 18th 2019, 22:25:11.548        *Message : Object reference not set to an instance of an object.*

               September 18th 2019, 22:25:11.548        HResult : -2147467261

               September 18th 2019, 22:25:11.548        Win32 ThreadId:4536

               September 18th 2019, 22:25:11.548        Timestamp: 09/18/2019 16:55:10.7882661

               September 18th 2019, 22:25:11.548        -----------------------------------------------------------------------------

               September 18th 2019, 22:25:11.548        Help link :

               September 18th 2019, 22:25:11.548        MachineName : PRODSPONSORHOST

               September 18th 2019, 22:25:11.548        Category: UI

               September 18th 2019, 22:25:11.548        *An exception of type 'System.NullReferenceException' occurred and was caught.*

               September 18th 2019, 22:25:11.548        Data : System.Collections.ListDictionaryInternal

               September 18th 2019, 22:25:11.548        Additional Info:

               September 18th 2019, 22:25:11.548        WindowsIdentity : IIS APPPOOL\HPSponsorAppPool

               September 18th 2019, 22:25:11.548        ----------------------------------------

               September 18th 2019, 22:25:11.548        Category: General

               September 18th 2019, 22:25:11.548        ----------------------------------------

               September 18th 2019, 22:25:11.548        09/18/2019 16:55:10

               September 18th 2019, 22:25:11.548        TargetSite : System.Web.Mvc.ActionResult GetPlaceOnContractDevices(Int32)

               September 18th 2019, 22:25:11.548        TimeStamp : 9/18/2019 4:55:10 PM

               September 18th 2019, 22:25:11.548        FullName : Microsoft.Practices.EnterpriseLibrary.ExceptionHandling, Version=5.0.414.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35

               September 18th 2019, 22:25:11.548        AppDomainName : /LM/W3SVC/1859289084/ROOT-1-132132028875404474

               September 18th 2019, 22:25:11.548        ThreadIdentity : 90013896

               September 18th 2019, 22:25:11.548        EventId: 100

               September 18th 2019, 22:25:11.548        ProcessId: 4404

               September 18th 2019, 22:25:11.548        Extended Properties:

               September 18th 2019, 22:25:11.548        Message: Url: [http://mpc-sponsor-prd.int.hp.com/CRM/Device/GetPlaceOnContractDevices?customerOrgId=53781], HttpMethod: GET, Elapsed time (ApplicationStartRequest till ApplicationEndRequest): 682.2911

               September 18th 2019, 22:25:11.548        Timestamp: 09/18/2019 16:55:10.7882661

               September 18th 2019, 22:25:11.548        Message: HandlingInstanceID: e0716821-6efa-4a75-aa51-34bf297a5ddc

               September 18th 2019, 22:25:11.548        Source : PMPS.Web

               September 18th 2019, 22:25:11.548        Stack Trace :    at PMPS.Web.Controllers.CRM.DeviceController.GetPlaceOnContractDevices(Int32 customerOrgId) in C:\app\Web\PMPS.Web\Controllers\CRM\DeviceController.cs:line 1766

               September 18th 2019, 22:25:11.548        Priority: 0

               September 18th 2019, 22:25:11.548        Severity: Error

               September 18th 2019, 22:25:11.548        Machine: PRODSPONSORHOST

               September 18th 2019, 22:25:11.548        ----------------------------------------", Message: Url: [http://mpc-sponsor-prd.int.hp.com/CRM/Device/GetPlaceOnContractDevices?
FR,AWS-Prod(Iedp)- An exception of type 'System.ArgumentOutOfRangeException' occurred and was caught.,MSMPC-2593,"               September 19th 2019, 05:03:42.266        Message: HandlingInstanceID: 099e7ef8-8c6b-428c-9b5b-ad1eae5b15af

               September 19th 2019, 05:03:42.266        Type : System.ArgumentOutOfRangeException, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089

               September 19th 2019, 05:03:42.266        Message : Specified argument was out of the range of valid values.

               September 19th 2019, 05:03:42.266        Help link :

               September 19th 2019, 05:03:42.266        ActualValue :

               September 19th 2019, 05:03:42.266        ParamName : An invalid onboarding task id was provided: 0

               September 19th 2019, 05:03:42.266        MachineName : MYIEDPPRODHOST

               September 19th 2019, 05:03:42.266        TimeStamp : 9/18/2019 11:33:35 PM

               September 19th 2019, 05:03:42.266        FullName : Microsoft.Practices.EnterpriseLibrary.ExceptionHandling, Version=5.0.414.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35

               September 19th 2019, 05:03:42.266        ----------------------------------------

               September 19th 2019, 05:03:42.266        ----------------------------------------

               September 19th 2019, 05:03:42.266        Timestamp: 09/18/2019 23:33:35.5808474

               September 19th 2019, 05:03:42.266        Message: Could not set owner as 55746 for customer org ID 15940

               September 19th 2019, 05:03:42.266        Category: UI

               September 19th 2019, 05:03:42.266        ProcessId: 3628

               September 19th 2019, 05:03:42.266        Win32 ThreadId:4784

               September 19th 2019, 05:03:42.266        UserOrgID - 15149

               September 19th 2019, 05:03:42.266        ThreadIdentity : eguieetrhcptyko1pqn6k3idg75mf7rz

               September 19th 2019, 05:03:42.266        Severity: Error

               September 19th 2019, 05:03:42.266        Severity: Information

               September 19th 2019, 05:03:42.266        ----------------------------------------------------------------------------------

               September 19th 2019, 05:03:42.266        09/18/2019 23:33:35

               September 19th 2019, 05:03:42.266        Parameter name: An invalid onboarding task id was provided: 0

               September 19th 2019, 05:03:42.266        Source : PMPS.Model.NHibernate

               September 19th 2019, 05:03:42.266        TargetSite : PMPS.Model.DomainObjects.Onboarding.OnboardingTaskAndContractDetail GetOnBoardingAndContractDetails(Int32)

               September 19th 2019, 05:03:42.266        AppDomainName : /LM/W3SVC/1447213216/ROOT-1-132132391096202155

               September 19th 2019, 05:03:42.266        WindowsIdentity : IIS APPPOOL\HPIedpAppPool

               September 19th 2019, 05:03:42.266        Category: BLL

               September 19th 2019, 05:03:42.266        Priority: 0

               September 19th 2019, 05:03:42.266        ----------------------------------------

               September 19th 2019, 05:03:42.266        *An exception of type 'System.ArgumentOutOfRangeException' occurred and was caught.*

               September 19th 2019, 05:03:42.266        Data : System.Collections.ListDictionaryInternal

               September 19th 2019, 05:03:42.266        HResult : -2146233086

               September 19th 2019, 05:03:42.266        Additional Info:

               September 19th 2019, 05:03:42.266        Machine: MYIEDPPRODHOST

               September 19th 2019, 05:03:42.266        Win32 ThreadId:4784

               September 19th 2019, 05:03:42.266        Extended Properties:

               September 19th 2019, 05:03:42.266        Machine: MYIEDPPRODHOST

               September 19th 2019, 05:03:42.266        Extended Properties: UserID - 7872

               September 19th 2019, 05:03:42.266        Stack Trace :    at PMPS.Model.NHibernate.OnBoarding.OnBoardingTaskRepository.GetOnBoardingAndContractDetails(Int32 onBoardingTaskId) in C:\app\Model\PMPS.Model.NHibernate\OnBoarding\OnBoardingTaskRepository.cs:line 194

               September 19th 2019, 05:03:42.266           at PMPS.Service.OnBoarding.OnBoardingService.SendReminderEmailToAccountManager(Int32 taskId, Int32 accountManagerid) in C:\app\Service\PMPS.Service.Impl\OnBoarding\OnBoardingService.cs:line 287

               September 19th 2019, 05:03:42.266        Priority: 0

               September 19th 2019, 05:03:42.266        EventId: 100

               September 19th 2019, 05:03:42.266        ProcessId: 3628

               September 19th 2019, 05:03:42.266        EventId: 80028

               September 19th 2019, 05:03:42.266        ----------------------------------------

               September 19th 2019, 05:03:42.266       ",PMPS.Model.NHibernate.OnBoarding.OnBoardingTaskRepository.GetOnBoardingAndContractDetails(Int32 onBoardingTaskId) in C:\app\Model\PMPS.Model.NHibernate\OnBoarding\OnBoardingTaskRepository.cs:line 194
FR,Aws-Prod(Sponsor)-Message: SendNewLocationDetailsToOrion - Orion returned error ,MSMPC-2916," 

October 16th 2019, 22:24:13.903              Message: *SendNewLocationDetailsToOrion* - Orion returned error - errorCode is 217 and returnMessage *is Maximum stored procedure, function, trigger, or view nesting level exceeded (limit 32).* Error inserting Address",Message: *SendNewLocationDetailsToOrion* - Orion returned error - errorCode is 217 and returnMessage *
FR,Aws-Prod(Sponsor)-SendUpdatedDeviceDetailsToOrion - Orion returned error ,MSMPC-2915,"October 16th 2019, 22:24:14.660              Message: *SendUpdatedDeviceDetailsToOrion* - Orion returned error - errorCode is 217 and returnMessage is  Maximum stored procedure, function, trigger, or view nesting level exceeded (limit 32). Error Updating Printer: 140610050"," *SendUpdatedDeviceDetailsToOrion* - Orion returned error - errorCode is 217 and returnMessage is  Maximum stored procedure, function, trigger, or view nesting level exceeded (limit 32)."
FR,AWS-Prod(customer)-The controller for path '/CRM/' was not found or does not implement IController.,MSMPC-2592," 

September 18th 2019, 21:19:36.609        Message: Url: [http://mpc-customer-prd.ext.hp.com/CRM/], HttpMethod: OPTIONS, Error details: *The controller for path '/CRM/' was not found or does not implement IController*.    at System.Web.Mvc.DefaultControllerFactory.GetControllerInstance(RequestContext requestContext, Type controllerType)","Message: Url: [http://mpc-customer-prd.ext.hp.com/CRM/], HttpMethod: OPTIONS, Error details: *The controller for path '/CRM/' was not found or does not implement IController*"
FR,Aws-Prod(Customer)-SendServiceRequestDetailsToOrion - Orion returned error - errorCode ,MSMPC-2762,"October 4th 2019, 02:02:32.497 Message: *SendServiceRequestDetailsToOrion - Orion returned error - errorCode is 1205 and returnMessage is Transaction (Process ID 63) was deadlocked on lock resources with another process and has been chosen as the deadlock victim*. Rerun the transaction. Error inserting Service Task",Message: *SendServiceRequestDetailsToOrion - Orion returned error - errorCode is 1205 and returnMessage is Transaction (Process ID 63) was deadlocked on lock resources with another process and has been chosen as the deadlock victim*
FR,"Aws-Prod(Iedp)-, Procedure usp_InsertUpdateSite, Line 323, Message: Cannot insert the value NULL into column 'PostalCodeID', table 'SDP.dbo.SDP_Address'; column does not allow nulls. INSERT fails.",MSMPC-2760,"|October 3rd 2019, 19:36:10.809 Message : Error 515, Level 16, State 2*, Procedure usp_InsertUpdateSite, Line 323, Message: Cannot insert the value NULL into column 'PostalCodeID', table 'SDP.dbo.SDP_Address'; column does not allow nulls. INSERT fails.*
               October 3rd 2019, 19:36:10.809 ClientConnectionId : c703819c-4091-402f-8bc8-556f8f08197c
               October 3rd 2019, 19:36:10.809 TargetSite : *Void OnError(System.Data.SqlClient.SqlException, Boole*an, System.Action`1[System.Action])
               October 3rd 2019, 19:36:10.809 HResult : -2146232060
               October 3rd 2019, 19:36:10.809 Stack Trace :    at System.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
               October 3rd 2019, 19:36:10.809 ThreadIdentity : ruwwrjzr9d5af81iyq7igiffsq354p81
               October 3rd 2019, 19:36:10.809 EventId: 100
               October 3rd 2019, 19:36:10.809 Severity: Error
               October 3rd 2019, 19:36:10.809 HelpLink.EvtID - 50000
               October 3rd 2019, 19:36:10.809    at PMPS.Infrastructure.ExceptionHandling.ExceptionHandlers.BusinessLogicExceptionHandler.HandleException(Exception& ex) in C:\app\Common\PMPS.Infrastructure\ExceptionHandling\ExceptionHandlers\BusinessLogicExceptionHandler.cs:line 16
               October 3rd 2019, 19:36:10.809 Message: HandlingInstanceID: 2549678c-e22a-4c12-8033-7f2965ea2008
               October 3rd 2019, 19:36:10.809 10/03/2019 14:06:07
               October 3rd 2019, 19:36:10.809 Help link :
               October 3rd 2019, 19:36:10.809 Errors : System.Data.SqlClient.SqlErrorCollection
               October 3rd 2019, 19:36:10.809 Class : 16
               October 3rd 2019, 19:36:10.809 Server : managed-print-central-prd.cvreuzsf8rfz.us-west-2.rds.amazonaws.com
               October 3rd 2019, 19:36:10.809    at *PMPS.Model.NHibernate.Common.Repositories.NHibernateADOTableValueRepository.ExecuteTableValuedSPWithIdParameter(String sprocName, DataSet dataSet, String[] dataTableNames, Int32 orgUnitId, Boolean deleteAddress) in* C:\app\Model\PMPS.Model.NHibernate\Common\Repositories\NHibernateADOTableValueRepository.cs:line 1295
               October 3rd 2019, 19:36:10.809 FullName : Microsoft.Practices.EnterpriseLibrary.ExceptionHandling, Version=5.0.414.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35
               October 3rd 2019, 19:36:10.809 Category: BLL
               October 3rd 2019, 19:36:10.809 Machine: MYIEDPPRODHOST
               October 3rd 2019, 19:36:10.809 Extended Properties: HelpLink.ProdName - Microsoft SQL Server
               October 3rd 2019, 19:36:10.809 Message: PMPS.Infrastructure.ExceptionHandling.ExceptionTypes.BusinessLogicException: Contacte o Suporte atravÃ©s de ""Contacte a HP"" com o ID do Token de Erro 2549678c-e22a-4c12-8033-7f2965ea2008.
               October 3rd 2019, 19:36:10.809 Type : System.Data.SqlClient.SqlException, System.Data, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089
               October 3rd 2019, 19:36:10.809 Source : .Net SqlClient Data Provider
               October 3rd 2019, 19:36:10.809 State : 1
               October 3rd 2019, 19:36:10.809    at System.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, Boolean callerHasConnectionLock, Boolean asyncClose)
               October 3rd 2019, 19:36:10.809    at System.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)
               October 3rd 2019, 19:36:10.809    at System.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString, Boolean isInternal, Boolean forDescribeParameterEncryption, Boolean shouldCacheForAlwaysEncrypted)
               October 3rd 2019, 19:36:10.809    at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, TaskCompletionSource`1 completion, Int32 timeout, Task& task, Boolean& usedCache, Boolean asyncWrite, Boolean inRetry)
               October 3rd 2019, 19:36:10.809 AppDomainName : /LM/W3SVC/1447213216/ROOT-1-132145589005093540
               October 3rd 2019, 19:36:10.809 ProcessId: 5836
               October 3rd 2019, 19:36:10.809 HelpLink.ProdVer - 13.00.5216
               October 3rd 2019, 19:36:10.809 HelpLink.LinkId - 20476
               October 3rd 2019, 19:36:10.809 An exception of type 'System.Data.SqlClient.SqlException' occurred and was caught.
               October 3rd 2019, 19:36:10.809 Procedure : usp_RethrowError
               October 3rd 2019, 19:36:10.809 ErrorCode : -2146232060
               October 3rd 2019, 19:36:10.809    at System.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async, Int32 timeout, Task& task, Boolean asyncWrite, Boolean inRetry, SqlDataReader ds, Boolean describeParameterEncryptionRequest)
               October 3rd 2019, 19:36:10.809    at System.Data.SqlClient.SqlCommand.InternalExecuteNonQuery(TaskCompletionSource`1 completion, String methodName, Boolean sendToPipe, Int32 timeout, Boolean& usedCache, Boolean asyncWrite, Boolean inRetry)
               October 3rd 2019, 19:36:10.809    at System.Data.SqlClient.SqlCommand.ExecuteNonQuery()
               October 3rd 2019, 19:36:10.809    at PMPS.Service.CRM.LocationService.<>c__DisplayClass41_0.<CreateSite>b__0() in C:\app\Service\PMPS.Service.Impl\CRM\LocationService.cs:line 409
               October 3rd 2019, 19:36:10.809    at PMPS.Model.NHibernate.NHUnitOfWorkExtension.ExecuteOperationsAndCommit(Action operation, IsolationLevel isolationLevel) in C:\app\Model\PMPS.Model.NHibernate\NHUnitOfWorkExtension.cs:line 37
               October 3rd 2019, 19:36:10.809    at PMPS.Service.CRM.LocationService.CreateSite(OrgUnitSite orgunitSite, Site site, IEnumerable`1 siteAddresses, Int32 countryId) in C:\app\Service\PMPS.Service.Impl\CRM\LocationService.cs:line 411
               October 3rd 2019, 19:36:10.809 TimeStamp : 10/3/2019 2:06:07 PM
               October 3rd 2019, 19:36:10.809 WindowsIdentity : IIS APPPOOL\HPIedpAppPool
               October 3rd 2019, 19:36:10.809 Priority: 0
               October 3rd 2019, 19:36:10.809 HelpLink.EvtSrc - MSSQLServer
               October 3rd 2019, 19:36:10.809 ----------------------------------------
               October 3rd 2019, 19:36:10.809    at Microsoft.Practices.EnterpriseLibrary.ExceptionHandling.ExceptionPolicyEntry.IntentionalRethrow(Exception chainException, Exception originalException)
               October 3rd 2019, 19:36:10.809    at Microsoft.Practices.EnterpriseLibrary.ExceptionHandling.ExceptionPolicyEntry.RethrowRecommended(Exception chainException, Exception originalException)
               October 3rd 2019, 19:36:10.809    at Microsoft.Practices.EnterpriseLibrary.ExceptionHandling.ExceptionPolicyEntry.Handle(Exception exceptionToHandle)
               October 3rd 2019, 19:36:10.808 Win32 ThreadId:4128
               October 3rd 2019, 19:36:10.808 UserOrgID €“ 16299|","Message: Cannot insert the value NULL into column 'PostalCodeID', table 'SDP.dbo.SDP_Address'; column does not allow nulls. INSERT fails.*"
FR,Aws-Prod(Sponsor)-An exception of type 'System.IndexOutOfRangeException' occurred and was caught,MSMPC-2761,"               Extended Properties: UserID €“ 19817

               October 3rd 2019, 15:32:41.028 ----------------------------------------

               October 3rd 2019, 15:32:41.028 *An exception of type 'System.IndexOutOfRangeException' occurred and was caught.*

               October 3rd 2019, 15:32:41.028 HResult : -2146233080

               October 3rd 2019, 15:32:41.028 TimeStamp : 10/3/2019 10:02:40 AM

               October 3rd 2019, 15:32:41.028 Machine: PRODSPONSORHOST

               October 3rd 2019, 15:32:41.028 ----------------------------------------

               October 3rd 2019, 15:32:41.028 Timestamp: 10/03/2019 10:02:40.3073677

               October 3rd 2019, 15:32:41.028 Machine: PRODSPONSORHOST

               October 3rd 2019, 15:32:41.028 Win32 ThreadId:1556

               October 3rd 2019, 15:32:41.028 Extended Properties: UserID - 19817

               October 3rd 2019, 15:32:41.028 Priority: -1

               October 3rd 2019, 15:32:41.028 EventId: 6352

               October 3rd 2019, 15:32:41.028 Machine: PRODSPONSORHOST

               October 3rd 2019, 15:32:41.028 ProcessId: 5564

               October 3rd 2019, 15:32:41.028 Win32 ThreadId:1556

               October 3rd 2019, 15:32:41.028 Timestamp: 10/03/2019 10:02:40.3230075

               October 3rd 2019, 15:32:41.028 Message: HandlingInstanceID: e8ef51fe-492f-439b-a2b6-6ff77541488b

               October 3rd 2019, 15:32:41.028 -------------------------------------------------------------------------------

               October 3rd 2019, 15:32:41.028 Type *: System.IndexOutOfRangeException,* mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089

               October 3rd 2019, 15:32:41.028 Data : System.Collections.ListDictionaryInternal

               October 3rd 2019, 15:32:41.028 Priority: 0

               October 3rd 2019, 15:32:41.028 EventId: 100

               October 3rd 2019, 15:32:41.028 Severity: Information

               October 3rd 2019, 15:32:41.028 Severity: Error

               October 3rd 2019, 15:32:41.028 Message: Url: [http://mpc-sponsor-prd.int.hp.com/Channel/Channel/DscApproveAfterPreview], HttpMethod: POST, Elapsed time (ApplicationStartRequest till ApplicationEndRequest): 812.5341

               October 3rd 2019, 15:32:41.028 UserOrgID - 87

               October 3rd 2019, 15:32:41.028 Timestamp: 10/03/2019 10:02:40.3073677

               October 3rd 2019, 15:32:41.028 Source : System.Data

               October 3rd 2019, 15:32:41.028 TargetSite : NodePath GetNodeByIndex(Int32)

               October 3rd 2019, 15:32:41.028    at PMPS.Model.NHibernate.Channel.ChannelScenarioVersionRepository.GetPreviewData(Int32 scenarioVersionId) in C:\app\Model\PMPS.Model.NHibernate\Channel\ChannelScenarioVersionRepository.cs:line 639

               October 3rd 2019, 15:32:41.028 WindowsIdentity : IIS APPPOOL\HPSponsorAppPool

               October 3rd 2019, 15:32:41.028 Category: BLL

               October 3rd 2019, 15:32:41.028 Extended Properties:

               October 3rd 2019, 15:32:41.028 Timestamp: 10/3/2019 10:02:40 AM

               October 3rd 2019, 15:32:41.028 App Domain: /LM/W3SVC/1859289084/ROOT-1-132145587944430197

               October 3rd 2019, 15:32:41.028 ProcessId: 5564

               October 3rd 2019, 15:32:41.028 Process Name: c:\windows\system32\inetsrv\w3wp.exe

               October 3rd 2019, 15:32:41.028 UserOrgID - 87

               October 3rd 2019, 15:32:41.028 ----------------------------------------

               October 3rd 2019, 15:32:41.028 10/03/2019 10:02:40

               October 3rd 2019, 15:32:41.028 Help link :

               October 3rd 2019, 15:32:41.028 Stack Trace :    at System.Data.RBTree`1.GetNodeByIndex(Int32 userIndex)

               October 3rd 2019, 15:32:41.028    at PMPS.Service.Channel.ChannelProposalService.GetPreviewData(GetPreviewDataRequest request) in C:\app\Service\PMPS.Service.Impl\Channel\ChannelProposalService.cs:line 695

               October 3rd 2019, 15:32:41.028 FullName : Microsoft.Practices.EnterpriseLibrary.ExceptionHandling, Version=5.0.414.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35

               October 3rd 2019, 15:32:41.028 AppDomainName : /LM/W3SVC/1859289084/ROOT-1-132145587944430197

               October 3rd 2019, 15:32:41.028 ThreadIdentity : 90015960",*An exception of type 'System.IndexOutOfRangeException' occurred and was caught.*
Deadlock,Aws-Prod(iedp-cmps)-usp_GetDevices SP - message is Transaction (Process ID 632) was deadlocked ,MSMPC-2724," 

September 30th 2019, 18:57:21.316        Message: *GetDevices - caught exception while calling usp_GetDevices SP - message is Transaction (Process ID 632) was deadlocked on lock resources with another process and has been chosen as the deadlock victim.* Rerun the transaction. , stacktrace is    at System.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)", Message: *GetDevices - caught exception while calling usp_GetDevices SP - message is Transaction (Process ID 632) was deadlocked on lock resources with another process and has been chosen as the deadlock victim.*
Deadlock,"Aws-Prod(Sponsor) - Procedure usp_SaveDevice, Line 253, Message: Transaction (Process ID 618) was deadlocked on lock",MSMPC-2603,"              

September 19th 2019, 19:53:11.433        Message: *Error occured while saving ManagedComponents dataSystem.Data.SqlClient.SqlException (0x80131904): Error 1205, Level 13, State 52, Procedure usp_SaveDevice, Line 253, Message: Transaction (Process ID 618) was deadlocked on lock* | communication buffer resources with another process and has been chosen as the deadlock victim. Rerun the transaction."," Message: *Error occured while saving ManagedComponents dataSystem.Data.SqlClient.SqlException (0x80131904): Error 1205, Level 13, State 52, Procedure usp_SaveDevice, Line 253, Message: Transaction (Process ID 618) was deadlocked on lock*"
